"bloodysnowx	1152	3.2	511	629	12	202	342	0.36	988	103616	2197	419	208255	68"
"ehou_maki	192	2.13	80	108	4	32	27	0.17	194	6090	353	51	19948	0"
"khiro256	2095	3.72	1046	1026	23	589	1334	0.89	1615	490677	4077	1897	490232	578"
"LOHZ	1005	3.14	511	480	14	259	397	0.53	668	119984	573	430	154893	215"
"mamastan	425	3.06	178	237	10	107	147	0.46	169	39671	307	98	63514	15"
"cocota24	463	2.68	212	245	6	50	96	0.23	480	24934	512	68	56989	41"
"DForrester	693	2.8	318	364	11	195	226	0.45	589	63685	478	449	99554	87"
"watashiehou	45	1.02	21	21	3	8	5	0.14	33	661	35	24	3305	39"
"mikoshi_fighter	224	2.26	100	119	5	40	64	0.35	178	13726	335	117	28014	26"
"okaotank	338	2.36	162	171	5	48	44	0.15	380	12923	384	0	38558	53"
