"bloodysnowx	1417	3.31	641	761	15	269	504	0.44	1172	158055	2928	421	288333	142"
"ehou_maki	219	2.27	88	127	4	35	35	0.19	224	8229	430	51	22902	0"
"khiro256	2169	3.77	1078	1068	23	606	1395	0.89	1704	523978	4092	1897	514207	586"
"LOHZ	1049	3.21	539	495	15	272	424	0.55	694	133833	632	430	167850	239"
"mamastan	498	3.18	214	274	10	128	186	0.5	195	51953	337	101	81929	48"
"cocota24	525	2.81	240	279	6	56	106	0.23	548	30108	576	68	65673	41"
"DForrester	913	3.29	414	485	14	247	317	0.48	801	103441	699	603	158955	131"
"watashiehou	49	1.08	24	22	3	9	5	0.13	34	661	35	24	3682	58"
"mikoshi_fighter	382	2.68	179	198	5	81	116	0.39	378	27025	743	209	67242	49"
"okaotank	674	3.09	314	349	11	82	123	0.21	889	40846	748	88	89751	51"
